country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-3,3,cotedivoire,6.25972,-3.39708,30,0
cotedivoire-30,30,cotedivoire,9.03582,-5.33081,30,2
cotedivoire-300,300,cotedivoire,7.65276,-3.99843,30,1
cotedivoire-301,301,cotedivoire,7.65298,-3.99834,30,0
cotedivoire-302,302,cotedivoire,7.45406,-4.433842,34,0
cotedivoire-304,304,cotedivoire,6.66213,-4.85071,35,0
cotedivoire-305,305,cotedivoire,5.4481,-4.02844,30,0
cotedivoire-306,306,cotedivoire,5.44575,-4.06196,30,0
cotedivoire-307,307,cotedivoire,5.41485,-4.01811,32,0
cotedivoire-308,308,cotedivoire,5.26064,-4.99872,30,3
cotedivoire-309,309,cotedivoire,5.26019,-4.99883,30,1
cotedivoire-31,31,cotedivoire,8.17208,-2.77785,30,0
cotedivoire-312,312,cotedivoire,5.33151,-4.88187,31,1
cotedivoire-313,313,cotedivoire,5.43382,-4.05803,31,2
cotedivoire-314,314,cotedivoire,5.44282,-4.02212,31,0
cotedivoire-315,315,cotedivoire,5.26942,-5.01505,31,0
cotedivoire-316,316,cotedivoire,5.43917,-4.02393,30,0
cotedivoire-317,317,cotedivoire,5.41749,-4.00802,30,1
cotedivoire-318,318,cotedivoire,5.41773,-4.00775,30,0
cotedivoire-319,319,cotedivoire,5.24748,-4.99728,30,4
cotedivoire-32,32,cotedivoire,8.51946,-2.60935,30,0
cotedivoire-320,320,cotedivoire,5.44099,-4.02965,30,0
cotedivoire-321,321,cotedivoire,5.44725,-4.03008,30,0
cotedivoire-323,323,cotedivoire,5.25552,-5.00809,29,2
cotedivoire-324,324,cotedivoire,5.41559,-4.01667,30,0
cotedivoire-325,325,cotedivoire,5.35413,-4.88949,32,0
cotedivoire-326,326,cotedivoire,7.52373,-3.94106,31,0
cotedivoire-327,327,cotedivoire,7.46762,-3.96142,31,0
cotedivoire-328,328,cotedivoire,5.14999,-4.88239,32,0
cotedivoire-329,329,cotedivoire,5.42367,-4.0348,30,0
cotedivoire-33,33,cotedivoire,9.26372,-5.37061,34,3
cotedivoire-333,333,cotedivoire,5.26946,-5.01544,30,0
cotedivoire-335,335,cotedivoire,5.44245,-4.02253,29,0
cotedivoire-337,337,cotedivoire,5.4205,-4.03013,31,1
cotedivoire-338,338,cotedivoire,5.42076,-4.03041,30,0
cotedivoire-339,339,cotedivoire,5.41832,-4.02006,31,0
cotedivoire-34,34,cotedivoire,9.2724,-5.3847,33,3
cotedivoire-340,340,cotedivoire,7.16508,-4.39155,32,0
cotedivoire-341,341,cotedivoire,7.21286,-4.3516,30,3
cotedivoire-342,342,cotedivoire,7.45684,-4.34312,32,0
cotedivoire-345,345,cotedivoire,7.17429,-4.10099,30,1
cotedivoire-346,346,cotedivoire,6.77657,-4.82827,32,1
cotedivoire-347,347,cotedivoire,7.22102,-4.42043,32,0
cotedivoire-349,349,cotedivoire,7.53983,-4.29191,35,0
cotedivoire-35,35,cotedivoire,9.17718,-5.35161,32,1
cotedivoire-350,350,cotedivoire,7.72929,-3.82652,32,14
cotedivoire-352,352,cotedivoire,7.45478,-4.57692,35,0
cotedivoire-353,353,cotedivoire,7.25029,-4.40056,31,0
cotedivoire-354,354,cotedivoire,7.7299,-3.94245,31,0
cotedivoire-355,355,cotedivoire,7.19607,-3.36761,30,1
cotedivoire-356,356,cotedivoire,7.12325,-3.58199,30,0
cotedivoire-357,357,cotedivoire,7.82678,-3.88538,30,0
cotedivoire-358,358,cotedivoire,6.61349,-4.64043,33,0
cotedivoire-36,36,cotedivoire,9.26395,-5.37392,32,4
cotedivoire-360,360,cotedivoire,7.1805,-4.05814,30,1
cotedivoire-361,361,cotedivoire,6.38489,-5.36205,32,0
cotedivoire-363,363,cotedivoire,7.66952,-6.09823,31,0
cotedivoire-364,364,cotedivoire,6.55849,-6.04228,32,1
cotedivoire-365,365,cotedivoire,6.62997,-5.9169,32,0
cotedivoire-367,367,cotedivoire,8.06245,-6.19095,32,0
cotedivoire-368,368,cotedivoire,7.16511,-4.39147,32,0
cotedivoire-369,369,cotedivoire,6.3844,-5.38125,32,0
cotedivoire-37,37,cotedivoire,9.24634,-5.30912,30,0
cotedivoire-370,370,cotedivoire,6.3849,-5.36194,32,0
cotedivoire-371,371,cotedivoire,7.81133,-6.07769,30,0
cotedivoire-372,372,cotedivoire,8.45034,-6.26994,35,3
cotedivoire-373,373,cotedivoire,8.19664,-5.70452,31,0
