id,lat,lng,n_trials,n_positive
malawi-7013,-13.567755,33.446165,30,2
malawi-7014,-13.932235,33.560285,30,0
malawi-7015,-14.158295,33.550555,30,0
malawi-7016,-14.157055,33.443675,30,0
malawi-7017,-13.895795,33.346815,30,2
malawi-7018,-13.85599,33.28447,30,2
malawi-7019,-14.06049,33.66479,30,0
malawi-7020,-14.10739,33.608895,30,0
malawi-8001,-15.45868,34.81991,30,1
malawi-8005,-15.726985,34.39987,30,0
malawi-8006,-15.584295,34.45953,30,9
malawi-8009,-15.37866,34.90267,30,0
malawi-8010,-15.29206,34.934595,30,0
malawi-8011,-15.258685,34.612405,30,0
malawi-8012,-15.25627,34.630195,30,0
malawi-8013,-15.47522,34.651965,30,0
malawi-8014,-15.41485,34.711195,30,0
malawi-8015,-15.387355,34.694965,30,2
malawi-8016,-15.387185,34.574615,30,0
malawi-8019,-15.539505,34.49885,30,0
malawi-8020,-15.68364,34.499895,30,0
malawi-9001,-11.417445,33.846705,30,1
malawi-9002,-11.5152,33.79681,30,2
malawi-9003,-11.37312,33.890835,30,2
malawi-9004,-11.370505,33.82517,30,0
malawi-9006,-11.25665,33.986745,30,0
malawi-9007,-11.18054,33.88325,30,0
malawi-9008,-11.16625,33.875485,30,0
malawi-9009,-11.23042,33.792245,30,0
malawi-9010,-11.060535,33.842675,30,0
malawi-9011,-11.24582,33.468225,30,0
malawi-9012,-11.204545,33.414,30,0
malawi-9013,-11.87988,33.611045,30,0
malawi-9014,-11.55928,33.620275,30,0
malawi-9015,-11.396075,33.747805,30,0
malawi-9016,-11.510715,33.679305,30,2
malawi-9017,-11.58452,33.53759,30,0
malawi-9018,-11.58729,33.56598,30,0
malawi-9019,-11.42723,33.449195,30,0
